,CountyID,mergeid,uniqueid,G18USSRROM_x,G18USSDWIL_x,G18USSIMCC_x,G18USSLBOW_x,G18USSCAAL_x,G18USSOWRI_x,geometry,joinid,G18USSCAAL_y,G18USSDWIL_y,G18USSIMCC_y,G18USSLBOW_y,G18USSOWRI_y,G18USSRROM_y,_merge
2337,,,,,,,,,,,11-IRON UT,866,2846,206,597,68,11286,right_only
2338,,,,,,,,,,,13-TOTALS,109,746,38,89,6,2135,right_only
2339,,,,,,,,,,,21-TOTALS,408,771,113,173,50,5810,right_only
2340,,,,,,,,,,,25-AF11:UN,0,0,0,0,0,0,right_only
2341,,,,,,,,,,,25-CH02:UN,0,0,0,0,0,0,right_only
2342,,,,,,,,,,,25-LE18:UN,0,0,0,0,0,0,right_only
2343,,,,,,,,,,,25-MA05:UN,0,0,0,0,0,0,right_only
2344,,,,,,,,,,,25-SP09:UN,0,0,0,0,0,0,right_only
2345,,,,,,,,,,,25-SP14:UN,0,0,0,0,0,0,right_only
2346,,,,,,,,,,,25-SR08:UN,0,0,0,0,0,0,right_only
2347,,,,,,,,,,,8-Canvas,1,1,0,0,0,6,right_only
